MassAniso: 0.207901
RelativeDielectric: 11.4

Energy SU(meV): 19.9437
Length SU(nm): 3.16673


PotentialIdx,Exponent,Coefficient(Real),Coefficient(Imag),Symmetry,
0,-1,-2,0,

SolidAngleFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

SlaterFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0

GaussFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0


WavefunctionType: 1

BasisIdx,m,l,k,Azimuth,Symmetry,
0,0,0,0,1,A1
1,0,0,1,1,A1
2,0,0,2,1,A1
3,0,0,3,1,A1
4,0,2,0,1,A1
5,0,2,1,1,A1
6,0,2,2,1,A1
7,0,2,3,1,A1
8,0,4,0,1,A1
9,0,4,1,1,A1
10,0,4,2,1,A1
11,0,4,3,1,A1
12,0,6,0,1,A1
13,0,6,1,1,A1
14,0,6,2,1,A1
15,0,6,3,1,A1


Radius0(AU),Aniso0,Energy0(AU),Variance0,Energy1(AU),Variance1,Energy2(AU),Variance2,Energy3(AU),Variance3,Energy4(AU),Variance4,Energy5(AU),Variance5,Energy6(AU),Variance6,Energy7(AU),Variance7,Energy8(AU),Variance8,Energy9(AU),Variance9,Energy10(AU),Variance10,Energy11(AU),Variance11,Energy12(AU),Variance12,Energy13(AU),Variance13,Energy14(AU),Variance14,Energy15(AU),Variance15,Del
0.05,0.05,6.10358,42.4745,18.813,44.5372,28.8231,4.69088,51.1786,2.86824,55.3699,21.5873,88.3713,1.88695,93.3717,1.88386,146.152,4.9442,174.296,1.87083,233.076,0.74808,265.728,6.21214,426.201,0.734236,596.986,0.590908,714.275,2.79625,1222.66,1.08347,2781.39,2.06372,0
0.05,0.0693359,5.67939,49.1414,18.6574,45.0024,28.3135,4.96975,51.0548,2.8762,55.0931,21.4553,88.1869,1.96722,93.1741,1.89419,145.605,5.02264,173.804,1.84889,232.837,0.745833,265.674,6.22076,425.493,0.736014,595.954,0.590528,713.961,2.79679,1222.16,1.08538,2777.44,2.06627,0
0.05,0.0886719,5.33796,55.9247,18.5443,45.4108,27.9107,5.15891,50.9506,2.88364,54.9723,21.2923,88.0411,2.03653,93.0234,1.91062,145.401,5.04464,173.395,1.8343,232.623,0.744401,265.741,6.22274,424.953,0.737947,595.138,0.589602,713.774,2.79635,1221.8,1.08671,2774.07,2.06842,0
0.05,0.108008,5.06095,62.7256,18.4713,45.7565,27.5903,5.26799,50.8641,2.89332,54.9873,21.091,87.9304,2.09685,92.9092,1.93456,145.493,5.01877,173.048,1.82477,232.427,0.743586,265.921,6.21882,424.55,0.740096,594.496,0.588236,713.709,2.7949,1221.56,1.08757,2771.16,2.07026,0
0.05,0.127344,4.83655,69.4225,18.4367,46.0336,27.3369,5.30546,50.7929,2.91241,55.1269,20.8412,87.852,2.14937,92.8253,1.96697,145.851,4.95128,172.75,1.81892,232.248,0.743271,266.211,6.20941,424.263,0.742502,593.999,0.586519,713.764,2.79239,1221.43,1.08801,2768.66,2.07187,0
0.05,0.14668,4.65654,75.883,18.439,46.2363,27.1401,5.27941,50.7346,2.94757,55.3849,20.5342,87.8035,2.19466,92.7684,2.0087,146.455,4.8474,172.494,1.81584,232.084,0.743375,266.611,6.19474,424.078,0.745197,593.627,0.584534,713.936,2.78877,1221.4,1.08811,2766.5,2.0733,0
0.05,0.166016,4.51486,81.9746,18.477,46.3599,26.9929,5.19797,50.687,3.0015,55.7573,20.1664,87.7827,2.23285,92.7362,2.06057,147.29,4.71186,172.274,1.81491,231.932,0.743844,267.119,6.17494,423.985,0.748204,593.366,0.582359,714.225,2.784,1221.48,1.08787,2764.66,2.07457,0
0.05,0.185352,4.40687,87.5738,18.5493,46.4005,26.8901,5.06941,50.6484,3.07239,56.2415,19.7394,87.7872,2.26369,92.7278,2.1234,148.344,4.54915,172.086,1.81568,231.793,0.744635,267.737,6.15008,423.975,0.75154,593.205,0.580077,714.633,2.77802,1221.65,1.08734,2763.11,2.07573,0
0.05,0.204688,4.3289,92.5743,18.6544,46.3551,26.8282,4.90231,50.6176,3.1555,56.8352,19.2589,87.8149,2.28668,92.7428,2.1981,149.609,4.36361,171.927,1.8178,231.664,0.745716,268.466,6.12016,424.044,0.755222,593.134,0.577772,715.158,2.77078,1221.91,1.08652,2761.83,2.07678,0
0.05,0.224023,4.27799,96.8935,18.7907,46.221,26.8049,4.70572,50.594,3.24519,57.5362,18.732,87.8632,2.30115,92.7816,2.28552,151.077,4.15953,171.795,1.82098,231.545,0.747056,269.308,6.08517,424.186,0.75926,593.145,0.575531,715.804,2.76222,1222.27,1.08545,2760.8,2.07775,0
